month,temp
Jan-00,4.7
Feb-00,2.6
Mar-00,6.2
Apr-00,12.1
May-00,18.7
Jun-00,22
Jul-00,27.2
Aug-00,27.9
Sep-00,23.6
Oct-00,17.3
Nov-00,12.1
Dec-00,6.2
Jan-01,3
Feb-01,4.1
Mar-01,7.2
Apr-01,13.2
May-01,18.8
Jun-01,22.6
Jul-01,27.7
Aug-01,26.7
Sep-01,22.3
Oct-01,16.9
Nov-01,10.4
Dec-01,5.8
Jan-02,4.7
Feb-02,4.9
Mar-02,9
Apr-02,14.4
May-02,17.7
Jun-02,21.8
Jul-02,27.4
Aug-02,27
Sep-02,22.8
Oct-02,16.6
Nov-02,8.6
Dec-02,5.9
Jan-03,2.9
Feb-03,4.2
Mar-03,6.1
Apr-03,13.4
May-03,18
Jun-03,21.5
Jul-03,23
Aug-03,26.5
Sep-03,23.5
Oct-03,15.6
Nov-03,13.2
Dec-03,6.8
Jan-04,3.5
Feb-04,5.1
Mar-04,7.5
Apr-04,14.2
May-04,18.8
Jun-04,23.1
Jul-04,27.4
Aug-04,26.4
Sep-04,24.1
Oct-04,17
Nov-04,12.5
Dec-04,7.4
Jan-05,3.8
Feb-05,3.9
Mar-05,6.6
Apr-05,13.8
May-05,17.3
Jun-05,23.3
Jul-05,25.6
Aug-05,26.8
Sep-05,24.2
Oct-05,17.8
Nov-05,10.7
Dec-05,3.7
Jan-06,2.8
Feb-06,4
Mar-06,6.2
Apr-06,11.2
May-06,17.5
Jun-06,22.1
Jul-06,25.1
Aug-06,27.5
Sep-06,22.5
Oct-06,17.8
Nov-06,12.1
Dec-06,6.6
Jan-07,4.8
Feb-07,5.8
Mar-07,7.2
Apr-07,12.3
May-07,17.7
Jun-07,22.1
Jul-07,23.9
Aug-07,27.7
Sep-07,24.8
Oct-07,17.5
Nov-07,11
Dec-07,7
Jan-08,3.6
Feb-08,2.8
Mar-08,8.5
Apr-08,13.6
May-08,18.4
Jun-08,21.5
Jul-08,27.7
Aug-08,27.2
Sep-08,23.1
Oct-08,17.9
Nov-08,11.5
Dec-08,7
Jan-09,4.6
Feb-09,6.1
Mar-09,8.2
Apr-09,13.7
May-09,18.6
Jun-09,22.7
Jul-09,26.1
Aug-09,26.5
Sep-09,22.9
Oct-09,17.4
Nov-09,11.8
Dec-09,6.9
Jan-10,4
Feb-10,5.8
Mar-10,7.9
Apr-10,11.9
May-10,17.6
Jun-10,23.1
Jul-10,27.1
Aug-10,29.5
Sep-10,25.4
Oct-10,18.6
Nov-10,11.3
Dec-10,7.2
Jan-11,2.6
Feb-11,5.1
Mar-11,6.1
Apr-11,11.5
May-11,18.2
Jun-11,23.5
Jul-11,27.1
Aug-11,28.1
Sep-11,24.1
Oct-11,17.8
Nov-11,13.3
Dec-11,6.5
Jan-12,3.9
Feb-12,3.7
Mar-12,7.6
Apr-12,13.2
May-12,17.9
Jun-12,21.8
Jul-12,27
Aug-12,28.1
Sep-12,25.1
Oct-12,17.6
Nov-12,11
Dec-12,5.2
Jan-13,3.8
Feb-13,4.1
Mar-13,8.8
Apr-13,12.6
May-13,18.1
Jun-13,23.4
Jul-13,27.5
Aug-13,28.4
Sep-13,23.6
Oct-13,19.5
Nov-13,11.3
Dec-13,6.3
Jan-14,4
Feb-14,4.1
Mar-14,8.1
Apr-14,13.1
May-14,18.7
Jun-14,23.1
Jul-14,26.5
Aug-14,26.6
Sep-14,22.2
Oct-14,17.7
Nov-14,12.1
Dec-14,5.1
Jan-15,4.4
Feb-15,5.1
Mar-15,8.3
Apr-15,14.3
May-15,19.9
Jun-15,21.7
Jul-15,26.1
Aug-15,27.1
Sep-15,21.9
Oct-15,17
Nov-15,13.5
Dec-15,8.3
Jan-16,5.2
Feb-16,5.7
Mar-16,8.6
Apr-16,14.6
May-16,19.5
Jun-16,22.2
Jul-16,26.6
Aug-16,28.1
Sep-16,24.4
Oct-16,18.5
Nov-16,11.5
Dec-16,7.4
Jan-17,4.3
Feb-17,4.2
Mar-17,7.2
Apr-17,13.7
May-17,19.7
Jun-17,21.5
Jul-17,27.4
Aug-17,27.6
Sep-17,22.5
Oct-17,17.2
Nov-17,10.5
Dec-17,5.2
Jan-18,3.4
Feb-18,3.6
Mar-18,9.7
Apr-18,15.1
May-18,18.8
Jun-18,22.5
Jul-18,28.5
Aug-18,28.5
Sep-18,22.6
Oct-18,17.8
Nov-18,12.5
Dec-18,7.6
Jan-19,4.7
Feb-19,5.9
Mar-19,8.6
Apr-19,12.6
May-19,19.1
Jun-19,22.4
Jul-19,25.2
Aug-19,28.1
Sep-19,25.2
Oct-19,19
Nov-19,12.2
Dec-19,7.5
Jan-20,7
Feb-20,5.9
Mar-20,9.6
Apr-20,11.9
May-20,19
Jun-20,23.8
Jul-20,24.7
Aug-20,29.4
Sep-20,24.4
Oct-20,16.9
Nov-20,12.6
Dec-20,6.6
Jan-21,4.2
Feb-21,6.9
Mar-21,10.2
Apr-21,13.7
May-21,18.2
Jun-21,22.6
Jul-21,26.8
Aug-21,26.7
Sep-21,23.4
Oct-21,18.6
Nov-21,11.9
Dec-21,6.9
Jan-22,
